City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Skibbereen,IE,51.55,-9.2667,40.89,76,100,6.82,overcast clouds
289,Matara,LK,5.9485,80.5353,76.86,86,20,1.23,few clouds
290,Mokobeng,BW,-22.9965,27.6678,66.92,48,6,4.05,clear sky
291,Jumla,NP,29.2747,82.1838,51.51,44,0,4.41,clear sky
292,Maceio,BR,-9.6658,-35.7353,76.44,88,40,4.61,scattered clouds
293,Newport Beach,US,33.6189,-117.9289,71.82,62,40,8.05,scattered clouds
294,Olinda,BR,-8.0089,-34.8553,83.93,70,40,8.05,scattered clouds
295,Aksay,RU,47.26,39.87,63.25,45,100,7.0,overcast clouds
296,Gurupa,BR,-1.405,-51.64,73.76,97,93,2.71,overcast clouds
297,Ulagan,RU,50.6321,87.9563,20.1,79,100,2.42,overcast clouds
298,Yashkul,RU,46.1711,45.3435,51.44,57,100,12.39,overcast clouds
299,Port Blair,IN,11.6667,92.75,80.64,89,20,2.3,mist
300,Kaeo,NZ,-35.1,173.7833,74.32,77,100,5.19,overcast clouds
301,Ponta Delgada,PT,37.7333,-25.6667,59.72,94,75,6.91,broken clouds
302,Acapulco,MX,16.8634,-99.8901,80.42,65,75,10.36,broken clouds
303,Orcopampa,PE,-15.2661,-72.3417,45.97,85,99,3.38,overcast clouds
304,Wucheng,CN,29.6008,118.175,51.15,67,100,1.83,overcast clouds
305,Takoradi,GH,4.8845,-1.7554,76.69,86,100,6.2,overcast clouds
306,Flinders,AU,-34.5833,150.8552,64.26,75,96,10.0,overcast clouds
307,Marigot,MF,18.0667,-63.0833,78.58,69,20,11.5,few clouds
308,Honiara,SB,-9.4333,159.95,83.19,74,100,5.82,overcast clouds
309,Swellendam,ZA,-34.0226,20.4417,60.71,90,100,10.18,light rain
310,Burgos,ES,42.3394,-3.7079,30.61,100,75,6.91,broken clouds
311,Rock Springs,US,41.5875,-109.2029,47.05,27,0,16.11,clear sky
312,Itarema,BR,-2.9248,-39.9167,75.79,88,97,5.84,overcast clouds
313,Cayenne,GF,4.9333,-52.3333,79.09,1,75,1.99,broken clouds
314,Rovaniemi,FI,66.5,25.7167,18.81,93,100,12.66,overcast clouds
315,Marawi,PH,7.9986,124.2928,74.55,83,100,3.83,overcast clouds
316,Bowen,AU,-20.0167,148.2333,82.96,65,21,13.53,few clouds
317,Jalu,LY,29.0331,21.5482,69.17,24,100,10.78,overcast clouds
318,Lata,PT,40.1629,-8.3327,45.91,62,0,4.94,clear sky
319,Adrar,MR,20.5022,-10.0711,73.8,12,2,7.31,clear sky
320,Esperance,AU,-33.8667,121.9,69.37,57,11,14.14,few clouds
321,Natal,BR,-5.795,-35.2094,77.65,94,20,4.61,few clouds
322,San Quintin,MX,30.4833,-115.95,61.5,67,14,8.61,few clouds
323,Cardoso,BR,-20.0819,-49.9142,68.27,95,67,10.83,broken clouds
324,Hutchinson,US,38.0608,-97.9298,57.15,44,100,10.36,overcast clouds
325,Dalton,US,34.7698,-84.9702,54.91,64,0,1.01,clear sky
326,Kaohsiung,TW,22.6163,120.3133,66.15,75,100,5.75,light intensity drizzle
327,Gat,IL,31.61,34.7642,71.4,44,100,2.06,overcast clouds
328,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.76,88,5,3.38,clear sky
329,Valle Hermoso,MX,25.6667,-97.8333,75.09,83,87,11.54,overcast clouds
330,Maniitsoq,GL,65.4167,-52.9,27.57,77,45,6.24,scattered clouds
331,Cacu,BR,-18.5567,-51.1308,68.25,97,63,7.43,broken clouds
332,Harper,LR,4.375,-7.7169,79.66,87,100,8.52,moderate rain
333,Trairi,BR,-3.2778,-39.2689,77.04,84,100,3.69,overcast clouds
334,Srednekolymsk,RU,67.45,153.6833,-2.94,88,99,6.89,overcast clouds
335,Lorengau,PG,-2.0226,147.2712,77.76,91,100,7.65,heavy intensity rain
336,Aksu,CN,41.1231,80.2644,49.75,38,96,2.71,overcast clouds
337,Liverpool,GB,53.4106,-2.9779,39.15,77,20,2.3,few clouds
338,Gizo,SB,-8.103,156.8419,80.19,83,100,11.88,light rain
339,Touros,BR,-5.1989,-35.4608,79.99,81,100,12.1,overcast clouds
340,Belz,FR,47.6751,-3.168,41.22,78,11,10.4,few clouds
341,Xuddur,SO,4.1213,43.8894,73.06,86,1,14.16,clear sky
342,Nouadhibou,MR,20.931,-17.0347,63.55,85,0,16.06,clear sky
343,Kushiro,JP,42.975,144.3747,35.02,73,5,7.52,clear sky
344,Yatou,CN,37.15,122.3833,43.88,41,100,6.46,overcast clouds
345,Penzance,GB,50.1186,-5.5371,44.58,65,100,11.52,overcast clouds
